,pc1,pc2,pc3,GMM_cluster,K_means_cluster,target
0,0.005561849892711369,0.0028516746285789946,-0.00030053992991526166,0,0,0
1,0.004928898286618328,0.002803522493329105,-0.00857209641430173,0,0,0
2,0.005705670485952119,0.0028784785732822765,0.007912773388838215,0,0,0
3,0.008368467944329818,-0.013494546641219803,-0.0016225469015984635,1,0,0
4,-8.156581177775279e-05,0.002579721353976684,-0.011214270283960345,0,3,0
5,-0.028345808999923953,0.0014234788058923719,0.01629783504128124,0,6,1
6,-0.019342311768346318,0.001765012853405604,-0.0031605796343431272,0,6,0
7,0.013954757607755277,0.0031665547233885316,-0.019833552988667562,0,4,0
8,0.005161782342956409,0.0028341960797809893,-0.00035524082926572395,0,0,0
9,0.005059575562138389,0.002809167135895944,-0.008580100788022347,0,0,0
10,0.00014491410068678706,0.0026152752331671278,-0.0009378723537666299,0,3,0
11,-0.008283265604802395,-0.032529197116144326,-0.005364520305784626,1,5,1
12,0.005300524578446559,0.0028402580179229214,-0.00033618114389309515,0,0,0
13,0.003787570709850248,0.011781709309449027,0.006557501465621297,1,0,1
14,0.004789677730120085,0.0028051784029372497,-0.005501320280956474,0,0,1
15,-5.4719385757903155e-05,0.002593771230837523,-0.006068897365154103,0,3,1
16,0.005254761006932632,0.002838227084470866,-0.00035510686776188573,0,0,0
17,0.0005245557231425254,0.0026318940112883093,-0.0008728842862489639,0,3,0
18,-0.018862041837047264,0.0018371957798204133,0.01734871785230708,0,6,0
19,0.005337131008130515,0.002867437270702241,0.00988255573272876,0,0,0
20,0.0004686898844805898,0.002629399937714012,-0.0009017978899342934,0,3,0
21,-0.014149563167476877,0.0020172806577238175,0.00769293869074711,0,1,1
22,-0.008090351201624055,-0.03437921503209929,-0.005524060526048941,1,5,1
23,0.018821281946606903,0.003378837412783899,-0.01929941114245816,0,4,0
24,0.04357288670982423,-0.01632623981521867,0.02748549723194797,1,2,0
25,-0.01470483789283993,0.001962288039789948,-0.004654303513661092,0,1,0
26,-0.019749859142455445,0.001747295909908517,-0.003180869394617503,0,6,1
27,0.0053665852403534,0.0028302953575145813,-0.005457458489892762,0,0,0
28,-0.010901832060072161,0.011579910407407119,0.009019040575679961,1,1,1
29,0.00417309308610092,0.0027269705080784773,-0.026057091964173548,0,0,0
30,-0.015142041988936051,0.0019484003276609237,-0.002632492381048976,0,1,0
31,-0.0010351387119629752,0.009730742234274684,-0.0003460166831238237,1,3,0
32,0.006295864812807084,0.0029349121685328106,0.02023093804945814,0,0,0
33,0.0002996737525606342,0.002622118916035738,-0.0008837082648100755,0,3,1
34,0.013975230361214942,-0.06834881299953217,0.003673522542034269,1,4,1
35,-0.00955796671344221,0.002191893823367688,-0.0020555012469478827,0,5,0
36,-0.00957428959805909,0.002191266505301221,-0.002023444910258881,0,5,0
37,-0.0026217086728090133,0.010051663649275363,-0.031164240036096164,1,3,0
38,0.014189079167347391,0.0031869816345086147,-0.015732941468007168,0,4,0
39,-0.010054471726958822,0.002159979808073263,-0.006204964569549017,0,5,0
40,6.671244534517685e-05,0.002611855984143643,-0.0009495817577501696,0,3,0
41,0.004795712837412748,0.002779747470809211,-0.015759966533737752,0,0,0
42,-0.00181120016178182,-0.06906313921628367,-0.008323136607782467,1,3,1
43,-0.006301498983525214,-0.06925906237247882,-0.008836656013591375,1,5,1
44,-0.01963244978767725,0.0017523702050672545,-0.003186949504249903,0,6,0
45,-0.009096815634166557,0.0022504834868385198,0.013357169207847344,0,5,1
46,-0.0197627964000891,0.0017467185695758864,-0.003187588374030217,0,6,0
47,-0.0004029334538743735,0.0025401935425693723,-0.021434893764554055,0,3,0
48,0.01027560927695175,0.003095794957672611,0.01558994663154712,0,0,1
49,0.01944761528185457,0.003444594386791014,-0.0038839875701189982,0,4,0
50,-0.00484144816079229,0.002397712937796115,-0.001506068667864264,0,5,0
51,0.005638747615225763,0.002880632154904522,0.009930827734428438,0,0,0
52,-0.014283099906748179,0.0020114693345689287,0.007683807679896824,0,1,1
53,-0.012281920923956236,-0.03265243820828075,0.014633633111088475,1,1,1
54,0.005486500292695099,0.0028484328366469897,-0.00029078100625659615,0,0,0
55,0.0050159776671365374,-0.004044909272806388,-0.03580122775011127,1,0,0
56,-0.014727540362855914,0.0019664823240460936,-0.002586600396000481,0,1,1
57,-0.02583748648138531,0.010928271033063182,0.007327586493183156,1,6,1
58,-0.009289957959200236,0.002229333127161284,0.008255079137480453,0,5,1
59,-0.00023351383917799546,0.002570492814038535,-0.012269172205371645,0,3,0
60,0.00546764683372806,0.0028475466618555767,-0.0003184177863078986,0,0,0
61,3.617467197720749e-06,-0.06888157368530715,0.0327632074310005,1,3,1
62,8.663709299782811e-05,0.0026127186809013587,-0.0009500297120660356,0,3,0
63,-0.0046224728618599635,0.0024072482291846746,-0.0014886684147945967,0,5,0
64,-0.019543764527394616,0.0017562964832044505,-0.003154039808619377,0,6,0
65,-0.01405325087637583,0.002034248107923265,0.012800797093014744,0,1,1
66,0.0046079676341065955,0.0027741972131061212,-0.014726634049874487,0,0,0
67,0.008161893735487162,0.003116102106146988,0.0602809251706757,0,0,0
68,0.005448111298126201,0.0028595281987891874,0.004803863553401635,0,0,1
69,0.005301497246191613,0.002840371104281189,-0.00030767552120838,0,0,1
70,0.00034942236605011795,0.0026370899345042067,0.004233045701955189,0,3,1
71,-0.029561683505182425,0.0012935434784665447,-0.014539638444530135,0,6,0
72,-0.004529571121612592,0.0024113550079077365,-0.0014567198489900267,0,5,0
73,0.003766196628948652,0.011712952068862494,0.0003978831765566546,1,0,0
74,-7.102813009660405e-05,0.002605901720758275,-0.0009430595929899044,0,3,0
75,-0.01483815573989509,0.001961581004280315,-0.0026291802615332634,0,1,1
76,0.005104882271623479,0.002831691442878963,-0.00037059743562146866,0,0,0
77,0.008634399307330606,-0.011162124407050587,0.013915011256842202,1,0,0
78,-0.01905576425255245,0.001790433866211027,0.002030357004224537,0,6,1
79,0.005262942986574063,0.0028386324094153243,-0.0003347597980737977,0,0,0
80,0.005758867144099081,0.002885846659437193,0.009933971127569089,0,0,1
81,0.0005210493393393098,0.0026573848443877213,0.009365991675025666,0,3,1
82,0.004718783613773456,0.00277638794409295,-0.015769999310617417,0,0,0
83,0.0003264690232045337,0.002623207372888049,-0.0009129013668285219,0,3,0
84,0.00031961174571508015,0.0026228336000896015,-0.000943582024402907,0,3,0
85,-0.013949512387586384,0.0020516269179123407,0.017944648235148363,0,1,1
86,-0.014728794242106574,0.0019664415119590023,-0.0025811557027162935,0,1,1
87,4.372313620640091e-05,0.002605670472268627,-0.0030216145428342694,0,3,0
88,0.005061629965773078,0.002819523199212566,-0.004480556343977227,0,0,0
89,-0.01968201745095818,0.0017630281722458292,0.0019265132249936705,0,6,0
90,0.005572540766165321,0.0028649408537229078,0.004811437980924624,0,0,0
91,0.005328028162545157,0.0028414234022850634,-0.00034691479249538527,0,0,0
92,0.007973655320342292,-0.010790835457297171,-0.0014026147299923445,1,0,0
93,0.014651102125227832,0.003248156194420153,0.000696684374840602,0,4,0
94,-0.0142834600649039,0.0020241654961028,0.01275940172801736,0,1,1
95,0.01966776940899868,0.0034671136134215097,0.0012973748457087578,0,4,0
96,0.00010639779249298583,0.0026135848500314154,-0.0009462387224566634,0,3,0
97,-5.068760923819717e-05,0.0026068366874793312,-0.0009217030756165099,0,3,1
98,-0.0010618346396505307,0.00250120671527075,-0.025597729717851483,0,3,0
99,-9.324494375321255e-05,0.0025791811140914852,-0.011227855674716026,0,3,0
100,0.005502281236041658,0.0028618963191185767,0.004811903731907168,0,0,1
101,-0.014777273007386238,0.001964271757131914,-0.0026086965130817717,0,1,0
102,-0.015063680660640245,0.0019518136925603152,-0.002625898472516099,0,1,1
103,-5.2355954425984076e-05,0.002627159691576974,0.007221714292667992,0,3,1
104,0.005280129064313058,0.0028341498010980657,-0.0024220694279617886,0,0,0
105,-0.014355485299996638,0.0019954701597554953,0.002548395183471428,0,1,1
106,0.004338550998630788,0.0027469687311591027,-0.020935820106256355,0,0,0
107,0.0057296918184925804,0.002879519952021904,0.007912802620343025,0,0,1
108,-0.003954071113186172,-0.053199383373060655,-0.0018866249961339964,1,5,1
109,0.00525853520738127,0.0028127345294479567,-0.010599187542339638,0,0,0
110,0.005281484507322616,0.0028394918104379667,-0.00031251114182151814,0,0,0
111,0.01387458801239475,0.0031630127678698603,-0.019860157657410824,0,4,0
112,0.005159254046584014,0.002834059340174916,-0.00036617327908876405,0,0,0
113,0.029552660534839383,0.0038984076164954523,0.00242422842304909,0,2,0
114,-0.00037117744183080923,0.002554246570696558,-0.016373374559358264,0,3,0
115,0.005301213763514807,-0.021017168146529368,0.009542232415566251,1,0,0
116,0.03908781506855661,0.0043143998949322,0.0034944753569671433,0,2,0
117,0.003156192898358586,-0.012027028312761019,0.0030650072226349996,1,0,1
118,0.029451104789060104,0.0038939146640105094,0.002387827438099007,0,2,0
119,-0.0004868154579681375,0.0025364082696322813,-0.02149463837403159,0,3,0
120,9.895450197758941e-05,0.002613261769536099,-0.0009463208293304766,0,3,0
121,-0.004675707306364927,0.0024050566490337343,-0.0014422023900744077,0,5,0
122,-0.014693249754095927,0.0019679739520245382,-0.0025845189227664813,0,1,1
123,0.0001083690456289251,0.0026137267383437514,-0.0009235709468434507,0,3,0
124,0.00035018358743077384,0.002624323013986976,-0.0008778485071665847,0,3,1
125,0.005309622751743875,0.0028407265985439987,-0.0003063268488294348,0,0,1
126,-0.0008957890558790653,0.0025058082210809795,-0.02663434010212105,0,3,0
127,0.00522887004372353,0.002837195613482848,-0.0003187397164539088,0,0,0
128,0.005566122432122907,0.002851859079762402,-0.0003008948712868704,0,0,0
129,-0.009358585913350068,0.0022135333422993926,0.0031341084299401707,0,5,1
