,pc1,GMM_cluster,K_means_cluster,target
0,-548.1353584258577,0,1,0
1,-548.1389884932171,0,1,0
2,-548.1316348272788,0,1,0
3,2907.8643081075616,3,3,0
4,-548.1398541215855,0,1,0
5,-548.1251322682936,0,1,1
6,-548.1347008335977,0,1,0
7,-548.1448217714302,0,1,0
8,-548.1353152473354,0,1,0
9,-548.1390728310291,0,1,0
10,-548.1352133956321,0,1,0
11,6749.864453142101,5,2,1
12,-548.1353732328428,0,1,0
13,-2435.1322762014615,4,4,1
14,-548.1375724794609,0,1,1
15,-548.1374807303018,0,1,1
16,-548.1354073604265,0,1,0
17,-548.1352188856787,0,1,0
18,-548.1255085772228,0,1,0
19,-548.1307570379662,0,1,0
20,-548.1352081102135,0,1,0
21,-548.1301973332197,0,1,1
22,7139.864392261598,5,2,1
23,-548.1449566963781,0,1,0
24,3837.874714459182,3,5,0
25,-548.1356658173073,0,1,0
26,-548.1345670155055,0,1,1
27,-548.1376816391447,0,1,0
28,-2525.130064540403,4,4,1
29,-548.1468042970931,0,1,0
30,-548.134681695086,0,1,0
31,-2052.1350793142483,4,4,0
32,-548.1262182652504,0,1,0
33,-548.135158935484,0,1,1
34,14475.867718711906,1,0,1
35,-548.1349456534891,0,1,0
36,-548.1349155349293,0,1,0
37,-2150.148726385412,4,4,0
38,-548.1430131609205,0,1,0
39,-548.1367306880184,0,1,0
40,-548.1351738388821,0,1,0
41,-548.1421947420982,0,1,0
42,14475.863611071982,1,0,1
43,14475.863732825885,1,0,1
44,-548.1346381681197,0,1,0
45,-548.1280153073358,0,1,1
46,-548.1346251098472,0,1,0
47,-548.1443357959531,0,1,0
48,-548.1285242649126,0,1,1
49,-548.1381230083884,0,1,0
50,-548.1351247599864,0,1,0
51,-548.1307750951463,0,1,0
52,-548.1301585344502,0,1,1
53,6749.8737277785685,5,2,1
54,-548.1353229887317,0,1,0
55,875.8490377394544,3,8,0
56,-548.1346980728935,0,1,1
57,-2525.1295665305574,4,4,1
58,-548.1302300441164,0,1,1
59,-548.1402743397258,0,1,0
60,-548.1353896377639,0,1,0
61,14475.881881179064,1,0,1
62,-548.1352096871826,0,1,0
63,-548.1351303495126,0,1,0
64,-548.134566109753,0,1,0
65,-548.1279410534108,0,1,1
66,-548.1416752735175,0,1,0
67,-548.1084455803253,0,1,0
68,-548.1330168591999,0,1,1
69,-548.1352625121732,0,1,1
70,-548.1328203835667,0,1,1
71,-548.1388933183654,0,1,0
72,-548.1350883668381,0,1,0
73,-2424.1351399910645,4,4,0
74,-548.1351437747495,0,1,0
75,-548.1347229497701,0,1,1
76,-548.1353640841436,0,1,0
77,2428.8711305297725,3,3,0
78,-548.132324505003,0,1,1
79,-548.1353377713236,0,1,0
80,-548.1307654353299,0,1,1
81,-548.1305647594671,0,1,1
82,-548.1422318277306,0,1,0
83,-548.1351949934934,0,1,0
84,-548.1352717897183,0,1,0
85,-548.1255263944929,0,1,1
86,-548.134675080498,0,1,1
87,-548.1361772100707,0,1,0
88,-548.1371847478171,0,1,0
89,-548.1323284269092,0,1,0
90,-548.1330546212492,0,1,0
